os,finance_db,finance_rowid,finance_client,lab_client,score,status,issue,entry,amount,nfs,classification,current_status,decision,link_count
29941,banco_empresa.db,632,AÇO MAIS,AÇO MAIS,1.0,Liberado,2026-02-09,2026-01-30,12597.0,64,safe,Liberado,mark_invoiced,1
29943,banco_empresa.db,642,FIABESA,Fiabesa Guararapes,0.847,Liberado,2026-02-13,2026-02-03,850.0,72,safe,Liberado,mark_invoiced,1
29946,banco_empresa.db,659,UNILEVER,UNILEVER,1.0,Liberado,2026-03-02,2026-02-03,3122.0,83,safe,Liberado,mark_invoiced,1
29947,banco_empresa.db,674,USINA OLHO DAGUA,USINA OLHO D AGUA,0.97,Liberado,2026-03-10,2026-02-04,23000.0,99,safe,Liberado,mark_invoiced,1
29948,banco_empresa.db,675,BOMBRIL,BOMBRIL,1.0,Liberado,2026-03-12,2026-02-05,7125.0,100,safe,Liberado,mark_invoiced,1
29949,banco_empresa.db,650,ARA TEXTIL,ARA TEXTIL,1.0,Liberado,2026-02-23,2026-02-05,2450.0,79,safe,Liberado,mark_invoiced,1
29952,banco_empresa.db,637,NORAL,NORAL,1.0,Liberado,2026-02-12,2026-02-09,1622.0,SNF,safe,Liberado,mark_invoiced,1
29953,banco_empresa.db,673,MABOR,MABOR,1.0,Liberado,2026-03-10,2026-02-09,2700.0,98,safe,Liberado,mark_invoiced,1
29955,banco_empresa.db,638,INJETEC,INJETEC,1.0,Liberado,2026-02-12,2026-02-10,500.0,69,safe,Liberado,mark_invoiced,1
29956,banco_empresa.db,647,EDK,EDK,1.0,Liberado,2026-02-19,2026-02-11,11466.5,76,safe,Liberado,mark_invoiced,1
29957,banco_empresa.db,647,EDK,EDK,1.0,Liberado,2026-02-19,2026-02-11,11466.5,76,safe,Liberado,mark_invoiced,1
29958,banco_empresa.db,691,UNILEVER,UNILEVER,1.0,Liberado,2026-03-30,2026-02-11,10500.0,110,safe,Liberado,mark_invoiced,1
29961,banco_empresa.db,635,AMBEV,AMBEV,1.0,Liberado,2026-02-12,2025-11-18,5000.0,67,safe,Liberado,mark_invoiced,1
29962,banco_empresa.db,686,AMBEV,AMBEV,1.0,Liberado,2026-03-18,2025-11-18,5000.0,105,safe,Liberado,mark_invoiced,1
29963,banco_empresa.db,718,MONDELEZ,MONDELEZ,1.0,Liberado,2026-04-14,2026-02-13,19344.79,135,safe,Liberado,mark_invoiced,1
